Region,17-Feb,19-Feb,22-Feb,24-Feb,26-Feb,1-Mar,3-Mar,5-Mar,8-Mar,9-Mar,10-Mar,11-Mar,12-Mar
Cook County,0,40,55,84,2705,2728,3822,6939,7985,9867,10637,12058,13056
City of Chicago,552,1095,1537,2151,2716,3093,4595,6295,7355,9213,10288,11387,13030
Lake County,231,714,804,1004,1151,1205,1470,2084,2275,2587,2913,3141,3384
McHenry County,252,343,353,499,569,578,779,909,977,1116,1237,1312,1435
Total,1035,2192,2749,3738,7141,7604,10666,16227,18592,22783,25075,27898,30905
