JoinField,JoinFieldAlt,estimated_turnout,win_prob_Fine,median_pct_Fine,median_votes_Fine,win_prob_Biss,median_pct_Biss,median_votes_Biss,win_prob_Abughazaleh,median_pct_Abughazaleh,median_votes_Abughazaleh,win_prob_Simmons,median_pct_Simmons,median_votes_Simmons,win_prob_Amiwala,median_pct_Amiwala,median_votes_Amiwala,win_prob_Andrew,median_pct_Andrew,median_votes_Andrew,win_prob_Huynh,median_pct_Huynh,median_votes_Huynh
LAKE:FREMONT 115,LAKE:Fremont 115,242,0.74936,0.341912372370633,83,0.23684,0.2715127664402234,66,0.01272,0.1486832013207628,36,0.00064,0.0641831666576147,16,0.00022,0.0551765661679228,13,6e-05,0.051501313179876655,12,0.00016,0.03151344634904958,8
COOK:9600012,COOK:Wheeling Precinct 12,277,0.74918,0.3406626399966781,94,0.23592,0.27014853706427683,75,0.01348,0.14986330394873254,42,0.00076,0.06524136882757534,18,0.00034,0.05609038431449305,16,0.00018,0.05208741094989409,14,0.00014,0.03104240967017049,9
COOK:8200060,COOK:Niles Precinct 60,339,0.359,0.2804794067791119,95,0.60682,0.3130757626532408,106,0.03176,0.16869357587901807,57,0.00142,0.07576257184791615,26,0.00036,0.04296820601920054,15,0.0004,0.05111028128766541,17,0.00024,0.02987136741648603,10
COOK:7504004,COOK:Evanston Ward 4 Precinct 4,561,0.01814,0.20311444221698238,114,0.97536,0.4104063830718264,230,0.00626,0.16551448891987908,93,8e-05,0.059785610284315095,34,0.00012,0.04679276839726104,26,2e-05,0.047099274869389196,26,2e-05,0.026815327821215845,15
COOK:9600068,COOK:Wheeling Precinct 68,320,0.34884,0.2759618313983554,88,0.61278,0.31087025612944663,99,0.03606,0.17186212551479044,55,0.00142,0.08060692241179693,26,0.0004,0.04430503451807659,14,0.00026,0.050087277806996566,16,0.00024,0.030769124244162428,10
COOK:8200043,COOK:Niles Precinct 43,232,0.34444,0.2747327655189906,64,0.61664,0.3098729236240839,72,0.03626,0.17227865331338954,40,0.0015,0.08042039119776126,19,0.00056,0.04373694698166197,10,0.00038,0.05131752452915289,12,0.00022,0.030482835292496145,7
COOK:8000029,COOK:Maine Precinct 29,291,0.75572,0.34290190784725316,100,0.23044,0.270210446586582,79,0.0128,0.14833080251766143,43,0.00048,0.06411448217646656,19,0.00036,0.05584227300871554,16,8e-05,0.05169376070652477,15,0.00012,0.031267090790090594,9
COOK:9600069,COOK:Wheeling Precinct 69,341,0.77586,0.3588019658892287,122,0.21802,0.2808603270520083,96,0.00568,0.13699025123041275,47,0.00014,0.04831523349017616,16,0.00014,0.05204702114361412,18,6e-05,0.05182748114723421,18,0.0001,0.03128456425484418,11
COOK:8100036,COOK:New Trier Precinct 36,446,0.3465,0.275410127196848,123,0.61316,0.31020015516486665,138,0.03728,0.17227051905447607,77,0.00186,0.08037501675970711,36,0.00056,0.04380725118138453,20,0.00036,0.05068807195933412,23,0.00028,0.03039689364973848,14
COOK:9600011,COOK:Wheeling Precinct 11,248,0.76006,0.34662646197366453,86,0.229,0.2730039745783933,68,0.01014,0.14543775664728903,36,0.00038,0.05983397782201341,15,0.00022,0.054974931010749024,14,0.0001,0.051645155041911375,13,0.0001,0.03103305496362215,8
COOK:8300007,COOK:Northfield Precinct 7,381,0.75046,0.34008134445048394,130,0.23504,0.26987800659273153,103,0.01346,0.1499509502239063,57,0.00044,0.06562576046250257,25,0.00026,0.05544169390489937,21,0.00018,0.051779004047200206,20,0.00016,0.03128668574825372,12
COOK:8200021,COOK:Niles Precinct 21,423,0.35082,0.2473751300963802,105,0.4445,0.2613992137529352,111,0.19548,0.21604232067519608,91,0.0042,0.08622820970352488,36,0.00336,0.07737198469573564,33,0.00106,0.05078690339391444,21,0.00058,0.029416890854157586,12
COOK:9600030,COOK:Wheeling Precinct 30,293,0.74724,0.3404958887828143,100,0.23822,0.2700499743364363,79,0.0134,0.15020262725324904,44,0.00058,0.0652481260299849,19,0.00028,0.05592333727755754,16,0.00012,0.051565537773255746,15,0.00016,0.031243426036745313,9
COOK:8200056,COOK:Niles Precinct 56,271,0.347,0.27558877079516314,75,0.61316,0.31061675500530905,84,0.03718,0.1717090511048082,47,0.00172,0.08020907594220333,22,0.00048,0.043770147957741055,12,0.00026,0.050792493104218,14,0.0002,0.0300347537451286,8
COOK:8000008,COOK:Maine Precinct 8,306,0.74902,0.3409327583767782,104,0.23598,0.2696165562191993,83,0.01376,0.15003587543594252,46,0.00066,0.0646558001753018,20,0.00034,0.05658145869688612,17,0.00012,0.05140915554012679,16,0.00012,0.030973979871454792,9
LAKE:ELA 82,LAKE:Ela 82,278,0.7489,0.3403392950580343,95,0.23614,0.2697024567157562,75,0.01368,0.1499136954125841,42,0.00064,0.06572353551816267,18,0.00042,0.05588193029433769,16,0.00016,0.05163732027653049,14,6e-05,0.031304993315928106,9
COOK:7506005,COOK:Evanston Ward 6 Precinct 5,480,0.01918,0.20491689806376176,98,0.97502,0.41149862821888605,198,0.00564,0.16364695111721347,79,8e-05,0.0594971294438632,29,0.0,0.046531080571376865,22,4e-05,0.04622566520456262,22,4e-05,0.02692034466703465,13
COOK:8300031,COOK:Northfield Precinct 31,310,0.75068,0.34048880765728873,106,0.23376,0.26945711785993354,84,0.0141,0.1499973582800021,46,0.00074,0.06479311618036122,20,0.00038,0.05593349650479408,17,0.00012,0.05175060657724133,16,0.00022,0.03146983107814553,10
COOK:8100024,COOK:New Trier Precinct 24,344,0.34564,0.27562308491901866,95,0.61332,0.31023319434398866,107,0.03844,0.17171492663486432,59,0.0017,0.08018779786847607,28,0.0004,0.04485452923976248,15,0.00034,0.05097802765161989,18,0.00016,0.03019244964972831,10
COOK:8200031,COOK:Niles Precinct 31,322,0.3501,0.27548651229767623,89,0.60948,0.31033891963191423,100,0.03832,0.17263827565805123,56,0.0015,0.08022662209114051,26,0.00024,0.044192873563091185,14,0.00026,0.050425410801045484,16,0.0001,0.030304773263464327,10
COOK:8300056,COOK:Northfield Precinct 56,304,0.3741,0.2907087132953998,88,0.60372,0.32057823088195236,97,0.0209,0.1616025890351167,49,0.00078,0.06580330205956329,20,0.00024,0.04140946941359989,13,0.00014,0.05041090084451439,15,0.00012,0.030137528982878595,9
COOK:7501004,COOK:Evanston Ward 1 Precinct 4,517,0.01818,0.20391440438334196,105,0.97562,0.4109171965772385,212,0.0059,0.1654010868082222,86,0.00012,0.059824021232296486,31,0.0001,0.04602337554371882,24,8e-05,0.046702775188019297,24,0.0,0.02600097089015801,13
COOK:9600065,COOK:Wheeling Precinct 65,281,0.74948,0.3405178233346849,96,0.23754,0.2700996432347673,76,0.01174,0.150439237829033,42,0.0006,0.06457598121394321,18,0.00044,0.05593555147819601,16,0.00012,0.051180067091963016,14,8e-05,0.03147026663443208,9
COOK:8200024,COOK:Niles Precinct 24,269,0.3545,0.2479769565698064,67,0.44404,0.2607545861924256,70,0.19172,0.21607107710021764,58,0.0049,0.08629763985103552,23,0.00378,0.07744277029430899,21,0.00066,0.05021045703680578,14,0.0004,0.029635890696039287,8
COOK:9600028,COOK:Wheeling Precinct 28,286,0.75388,0.3432734724695161,98,0.23302,0.2717149326633822,78,0.01196,0.14828930441367516,42,0.00064,0.06186756820805367,18,0.00026,0.05526358390737125,16,8e-05,0.051608879406587545,15,0.00016,0.031904593126302644,9
COOK:8200033,COOK:Niles Precinct 33,290,0.35236,0.2757763351732144,80,0.608,0.310709215448596,90,0.03686,0.17216767187997384,50,0.00156,0.07988117801134437,23,0.00054,0.043871611085508605,13,0.00036,0.05133192343522414,15,0.00032,0.029974018415577813,9
COOK:7507005,COOK:Evanston Ward 7 Precinct 5,488,0.0178,0.20291774061716272,99,0.9751,0.41061640246061243,200,0.00678,0.16533161322114162,81,0.00022,0.059801002993352406,29,4e-05,0.04649510608656286,23,4e-05,0.04679669994908161,23,2e-05,0.025876818983909124,13
